host,port,owner,project,source,target,z,x,y,size
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,2071,1275,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,4307,627,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,2012,215,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,3714,7392,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,764,6937,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,3347,2336,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,2286,6479,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,1810,8194,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,4162,6367,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,0,2575,3590,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,4083,6829,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,4245,1325,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,4268,5167,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,1399,4034,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,2849,7649,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,2858,3780,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,1135,6949,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,3120,5163,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,914,2826,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,1,1188,5565,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,4351,2723,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,1814,8590,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,510,6345,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,263,8259,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,1476,1487,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,1720,4158,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,2849,8821,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,2951,5784,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,3157,242,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,2,2779,4663,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,1462,4230,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,2181,2880,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,4401,1966,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,372,4749,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,2459,954,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,796,773,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,987,8831,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,3457,4506,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,709,2900,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,3,1561,5334,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,4,2722,8444,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,4,806,2985,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_2,REG_MARCH_21_DAPI_1,4,3568,4342,1024
