host,port,owner,project,source,target,z,x,y,size
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,52,2842,8353,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,60,2345,5530,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,52,3176,508,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,3,1790,7527,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,61,2206,842,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,58,1377,1887,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,44,2938,5148,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,73,968,8083,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,7,514,4593,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,41,212,3123,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,56,3411,8141,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,7,439,1038,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,67,1898,8664,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,10,3496,4617,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,89,2733,2906,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,92,2359,3851,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,62,4136,6243,1024
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,29,1560,1704,1024
