host,port,owner,project,source,target,z,x,y,size
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,55,4436,1982,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,24,4054,8862,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,69,3115,3570,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,52,5415,3373,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,90,2655,4131,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,87,4195,5522,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,86,4010,3801,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,24,3345,7432,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,57,3509,1742,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,69,2004,8778,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,55,3949,4936,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,20,2370,2283,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,39,3188,316,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,76,3539,2941,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,76,903,4975,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,73,548,9115,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,54,1898,3171,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,68,3137,5867,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,57,2523,4531,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,3,3328,3289,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,77,1370,3803,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,20,2886,6083,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,13,2837,1502,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,23,206,271,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,77,2330,4833,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,37,1986,8639,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,49,3826,4956,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,13,2439,9112,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,98,3455,1178,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,6,439,4725,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,81,1618,3517,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,49,1419,1978,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,37,2511,3190,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,21,655,2636,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,79,1500,2690,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,87,3093,1431,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,33,3396,7587,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,74,2940,3039,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,71,523,2779,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,70,1350,6651,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,45,3558,5453,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,81,1144,330,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,86,3384,8890,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,26,351,5207,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,20,3514,190,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,47,885,7854,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,77,3667,4806,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,56,1196,6528,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,38,2046,5398,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,100,2116,5053,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,56,4379,6800,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,77,2810,6028,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,42,3546,8993,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,45,2160,2928,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,9,1969,1241,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,56,3316,2292,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,1,3208,773,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,31,2044,6086,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,16,3971,4062,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,50,3160,2896,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,24,467,1226,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,56,2415,5810,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,56,1779,3300,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,97,548,2324,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,18,2241,9164,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,78,2813,6003,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,68,1387,8674,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,47,1927,7048,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,56,2585,770,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,85,3037,5538,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,74,1765,7399,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,25,959,7510,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,2,2629,1608,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,95,302,2126,1024,
http://10.128.24.33,80,Forrest,M247514_Rorb_1,REG_MARCH_21_DAPI_3,REG_MARCH_21_DAPI_1,38,3905,4403,1024,
